GISJOIN,YEAR,STUSAB,ZCTA5A,ZCTA_NAME,Total,Under0.5,0.5_0.99,1.00_1.24,1.25_1.49,1.50_1.84,1.85_1.99,Over2.0,Poverty_Dummy,Pct_Agg
G00601,2015-2019,PR,601,ZCTA5 00601,17059,6068,4484,1543,1352,986,429,2197,1,61.85591184
G00602,2015-2019,PR,602,ZCTA5 00602,37655,9800,8853,4230,2937,3132,1374,7329,0,49.53658213
G00603,2015-2019,PR,603,ZCTA5 00603,45929,14707,8984,3493,2823,3788,1235,10899,1,51.58178928
G00606,2015-2019,PR,606,ZCTA5 00606,6392,2888,1297,437,481,486,410,393,1,65.47246558
G00610,2015-2019,PR,610,ZCTA5 00610,26535,5708,6496,2735,1766,1891,1415,6524,0,45.99208592
G00612,2015-2019,PR,612,ZCTA5 00612,59163,14960,12671,5458,4618,6235,1998,13223,0,46.70317597
G00616,2015-2019,PR,616,ZCTA5 00616,9998,2354,2471,964,866,1518,205,1620,0,48.25965193
G00617,2015-2019,PR,617,ZCTA5 00617,23740,7065,4327,2885,1779,2123,821,4740,0,47.98652064
G00622,2015-2019,PR,622,ZCTA5 00622,6653,2007,1248,637,556,1104,0,1101,0,48.92529686
G00623,2015-2019,PR,623,ZCTA5 00623,41620,13383,8030,5060,2816,2456,1332,8543,1,51.44882268
G00624,2015-2019,PR,624,ZCTA5 00624,21803,6733,5604,2042,1461,1807,603,3553,1,56.58395634
G00627,2015-2019,PR,627,ZCTA5 00627,31500,7485,8256,3090,1918,2627,881,7243,0,49.97142857
G00631,2015-2019,PR,631,ZCTA5 00631,1499,665,389,93,49,40,27,236,1,70.31354236
G00637,2015-2019,PR,637,ZCTA5 00637,22266,4104,6147,2053,1561,2513,1304,4584,0,46.03880356
G00638,2015-2019,PR,638,ZCTA5 00638,16262,4813,4114,1498,1718,1452,283,2384,1,54.89484688
G00641,2015-2019,PR,641,ZCTA5 00641,26658,8225,5656,2843,2703,2165,823,4243,1,52.07067297
G00646,2015-2019,PR,646,ZCTA5 00646,37056,6885,5383,3873,2081,2933,1147,14754,0,33.1066494
G00647,2015-2019,PR,647,ZCTA5 00647,5809,1917,1634,449,358,630,107,714,1,61.12928215
G00650,2015-2019,PR,650,ZCTA5 00650,14521,3556,4006,1372,1589,1349,302,2347,1,52.07630328
G00652,2015-2019,PR,652,ZCTA5 00652,3554,408,1044,420,288,452,35,907,0,40.85537423
G00653,2015-2019,PR,653,ZCTA5 00653,10471,4240,2526,667,993,724,182,1139,1,64.61656002
G00656,2015-2019,PR,656,ZCTA5 00656,18418,5366,4744,1895,849,1733,935,2896,1,54.89195352
G00659,2015-2019,PR,659,ZCTA5 00659,39845,8468,9604,2656,3135,4107,1398,10477,0,45.35575354
G00660,2015-2019,PR,660,ZCTA5 00660,15905,3067,3870,2180,1084,1054,407,4243,0,43.61521534
G00662,2015-2019,PR,662,ZCTA5 00662,39390,12258,9717,3949,2727,2851,1074,6814,1,55.78827113
G00664,2015-2019,PR,664,ZCTA5 00664,14412,4760,4088,1235,1101,1147,280,1801,1,61.39328337
G00667,2015-2019,PR,667,ZCTA5 00667,23118,8297,6197,1625,1882,1799,627,2691,1,62.69573493
G00669,2015-2019,PR,669,ZCTA5 00669,24548,7483,6027,2071,1928,1913,601,4525,1,55.0350334
G00670,2015-2019,PR,670,ZCTA5 00670,8280,2911,1256,707,395,996,554,1461,1,50.32608696
G00674,2015-2019,PR,674,ZCTA5 00674,38815,10046,8287,4014,2810,3140,1604,8914,0,47.23174031
G00676,2015-2019,PR,676,ZCTA5 00676,36120,11613,7986,3005,1856,3565,808,7287,1,54.26079734
G00677,2015-2019,PR,677,ZCTA5 00677,14050,2669,3182,776,1304,1799,485,3835,0,41.64412811
G00678,2015-2019,PR,678,ZCTA5 00678,25580,7208,5380,3110,1473,3037,780,4592,0,49.21032056
G00680,2015-2019,PR,680,ZCTA5 00680,44490,14611,8731,3943,3152,3436,1069,9548,1,52.46572263
G00682,2015-2019,PR,682,ZCTA5 00682,31425,12378,5014,2083,1795,2527,605,7023,1,55.34447096
G00683,2015-2019,PR,683,ZCTA5 00683,28821,8691,6079,3135,2184,2288,1044,5400,1,51.24735436
G00685,2015-2019,PR,685,ZCTA5 00685,36929,11027,8877,3456,2492,3319,1064,6694,1,53.89802053
G00687,2015-2019,PR,687,ZCTA5 00687,30880,6848,7031,3983,2855,2660,727,6776,0,44.94494819
G00688,2015-2019,PR,688,ZCTA5 00688,11703,2835,3275,1238,936,1037,232,2150,1,52.20883534
G00690,2015-2019,PR,690,ZCTA5 00690,5722,1823,1111,350,356,408,182,1492,1,51.2757777
