GISJOIN,YEAR,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,BLOCKA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,TTRACTA,TBLKGRPA,ANRCA,CBSAA,METDIVA,CSAA,NECTAA,NECTADIVA,CNECTAA,UAA,URBRURALA,CDA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,NAME,ZCTA,SABINSA,TOTAL,URBAN,URBAN_AREAS,URBAN_CLUSTER,RURAL,NONDF,Rural_Dummy
G00601,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601,,,,,ZCTA5 00601,601,,18570,10679,0,10679,7891,0,0
G00602,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,602,,,,,ZCTA5 00602,602,,41520,41520,41520,0,0,0,0
G00603,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,603,,,,,ZCTA5 00603,603,,54689,54646,54646,0,43,0,0
G00606,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,606,,,,,ZCTA5 00606,606,,6615,2697,0,2697,3918,0,1
G00610,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,610,,,,,ZCTA5 00610,610,,29016,25640,25640,0,3376,0,0
G00612,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,612,,,,,ZCTA5 00612,612,,67010,62391,62391,0,4619,0,0
G00616,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,616,,,,,ZCTA5 00616,616,,11017,10438,10438,0,579,0,0
G00617,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,617,,,,,ZCTA5 00617,617,,24597,24161,24161,0,436,0,0
G00622,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,622,,,,,ZCTA5 00622,622,,7853,6171,6171,0,1682,0,0
G00623,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,623,,,,,ZCTA5 00623,623,,43061,42435,42435,0,626,0,0
G00624,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,624,,,,,ZCTA5 00624,624,,26241,22198,22198,0,4043,0,0
G00627,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,627,,,,,ZCTA5 00627,627,,35159,30415,30415,0,4744,0,0
G00631,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,631,,,,,ZCTA5 00631,631,,1852,0,0,0,1852,0,1
G00637,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,637,,,,,ZCTA5 00637,637,,25287,23163,23163,0,2124,0,0
G00638,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,638,,,,,ZCTA5 00638,638,,18941,11839,11839,0,7102,0,0
G00641,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,641,,,,,ZCTA5 00641,641,,31191,17647,17647,0,13544,0,0
G00646,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,646,,,,,ZCTA5 00646,646,,38199,38199,38199,0,0,0,0
G00647,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,647,,,,,ZCTA5 00647,647,,6172,4824,4824,0,1348,0,0
G00650,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,650,,,,,ZCTA5 00650,650,,14998,10556,10556,0,4442,0,0
G00652,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,652,,,,,ZCTA5 00652,652,,4715,3499,3499,0,1216,0,0
G00653,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,653,,,,,ZCTA5 00653,653,,13307,12414,12414,0,893,0,0
G00656,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,656,,,,,ZCTA5 00656,656,,21481,18931,18931,0,2550,0,0
G00659,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,659,,,,,ZCTA5 00659,659,,41953,37407,37407,0,4546,0,0
G00660,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,660,,,,,ZCTA5 00660,660,,17250,17216,17216,0,34,0,0
G00662,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,662,,,,,ZCTA5 00662,662,,43282,41045,41045,0,2237,0,0
G00664,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,664,,,,,ZCTA5 00664,664,,16784,11300,0,11300,5484,0,0
G00667,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,667,,,,,ZCTA5 00667,667,,25968,21332,21332,0,4636,0,0
G00669,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,669,,,,,ZCTA5 00669,669,,29744,23005,23005,0,6739,0,0
G00670,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,670,,,,,ZCTA5 00670,670,,9807,3214,3214,0,6593,0,1
G00674,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,674,,,,,ZCTA5 00674,674,,44457,41451,41451,0,3006,0,0
G00676,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,676,,,,,ZCTA5 00676,676,,40316,35279,35279,0,5037,0,0
G00677,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,677,,,,,ZCTA5 00677,677,,15272,15272,15272,0,0,0,0
G00678,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,678,,,,,ZCTA5 00678,678,,27819,25250,25250,0,2569,0,0
G00680,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,680,,,,,ZCTA5 00680,680,,58140,55306,55306,0,2834,0,0
G00682,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,682,,,,,ZCTA5 00682,682,,32615,31681,31681,0,934,0,0
G00683,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,683,,,,,ZCTA5 00683,683,,33772,30656,30656,0,3116,0,0
G00685,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,685,,,,,ZCTA5 00685,685,,42831,37131,37131,0,5700,0,0
G00687,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,687,,,,,ZCTA5 00687,687,,32610,29002,29002,0,3608,0,0
G00688,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,688,,,,,ZCTA5 00688,688,,13543,11072,11072,0,2471,0,0
